Sample Number,Sample Time,Sample Type Code,Variable Name,VMV Code,Value,Unit Code,Detection Limit,Flag,Status
81PY000094,5/1/1981 14:30,1,Dissolved nitrite/nitrate,7110,12,UG/L,,,U
81PY000163,7/31/1981 15:30,1,Dissolved nitrite/nitrate,7110,22,UG/L,,,U
82PY000064,3/19/1982 14:50,1,Dissolved nitrite/nitrate,7110,141,UG/L,,,U
82PY000064,3/19/1982 14:50,1,Cadmium Extractable,48302,0.5,UG/L,,L,U
82PY000088,4/16/1982 14:24,1,Dissolved nitrite/nitrate,7110,84,UG/L,,,U
82PY000180,5/28/1982 14:20,1,Dissolved nitrite/nitrate,7110,20,UG/L,,,U
82PY000187,6/4/1982 14:25,1,Cadmium Extractable,48302,0.5,UG/L,,L,U
82PY000402,8/27/1982 14:45,1,Cadmium Extractable,48302,0.5,UG/L,,L,U
82PY000540,11/5/1982 14:25,1,Cadmium Extractable,48302,0.5,UG/L,,L,U
82PY000569,11/19/1982 15:05,1,Cadmium Extractable,48302,0.5,UG/L,,,U
83PY000023,1/14/1983 11:15,1,Dissolved nitrite/nitrate,7110,26,UG/L,,,U
83PY000060,2/4/1983 13:50,1,Dissolved nitrite/nitrate,7110,42,UG/L,,,U
83PY000286,5/6/1983 14:30,1,Dissolved nitrite/nitrate,7110,10,UG/L,,,U
83PY000303,5/13/1983 14:20,1,Cadmium Extractable,48302,0.5,UG/L,,L,U
83PY000576,8/12/1983 14:45,1,Cadmium Extractable,48302,0.6,UG/L,,,U
84PY001356,7/6/1984 14:30,1,Dissolved nitrite/nitrate,7110,3,UG/L,,,U
84PY002077,9/7/1984 14:15,1,Dissolved nitrite/nitrate,7110,5,UG/L,,,U
84PY002313,2/24/1984 14:00,1,Cadmium Extractable,48302,0.5,UG/L,,L,U
84PY002597,10/26/1984 14:45,1,Dissolved nitrite/nitrate,7110,21,UG/L,,,U
85PY000482,4/26/1985 15:15,1,Dissolved nitrite/nitrate,7110,22,UG/L,,,U
85PY000655,5/17/1985 13:45,1,Dissolved nitrite/nitrate,7110,360,UG/L,,,U
85PY001247,7/19/1985 14:20,1,Dissolved nitrite/nitrate,7110,13,UG/L,,,U
85PY001541,8/30/1985 15:00,1,Dissolved nitrite/nitrate,7110,6,UG/L,,,U
86PY000482,5/9/1986 15:40,1,Dissolved nitrite/nitrate,7110,27,UG/L,,,U
86PY000967,6/27/1986 14:30,1,Dissolved nitrite/nitrate,7110,15,UG/L,,,U
86PY001150,7/25/1986 15:37,1,Dissolved nitrite/nitrate,7110,11,UG/L,,,U
86PY001737,12/5/1986 14:30,1,Dissolved nitrite/nitrate,7110,7,UG/L,,,U
87PY001844,12/4/1987 15:40,1,Dissolved nitrite/nitrate,7110,18,UG/L,,,U
07PY001117,6/12/2007 9:50,1,Boron Total,97501,1.3,UG/L,0.5,,P
07PY001400,9/19/2007 12:30,1,Boron Total,97501,1.5,UG/L,0.5,,P
09PY000701,2/18/2009 10:30,1,Boron Total,97501,1.5,UG/L,0.5,,P
11PY005490,2/23/2011 11:25,1,Boron Total,107907,1.6,UG/L,0.5,,P
14PY005385,1/14/2014 10:25,1,Carbon Dissolved Inorganic,201144,10400,UG/L,0.5,,U
15PY005008,6/11/2014 10:10,1,Carbon Dissolved Inorganic,201144,10100,UG/L,0.5,,U
15PY005668,3/18/2015 11:00,1,Carbon Dissolved Inorganic,201144,10200,UG/L,0.5,,U
15PY005722,1/13/2015 10:25,1,Carbon Dissolved Inorganic,201144,10500,UG/L,0.5,,U
18PY005699,4/16/2018 11:15,1,Titanium Total,107933,2.19,UG/L,0.05,,U
80PY000764,10/24/1980 15:00,1,Dissolved nitrite/nitrate,7110,2,UG/L,,L,U
81PY000189,8/28/1981 15:30,1,Dissolved nitrite/nitrate,7110,52,UG/L,,,U
81PY000189,8/28/1981 15:30,1,Cadmium Extractable,48302,0.5,UG/L,,L,U
81PY000235,11/6/1981 14:00,1,Dissolved nitrite/nitrate,7110,10,UG/L,,,U
81PY000245,11/27/1981 14:15,1,Cadmium Extractable,48302,0.5,UG/L,,L,U
82PY000018,1/22/1982 14:15,1,Dissolved nitrite/nitrate,7110,154,UG/L,,,U
82PY000060,3/12/1982 14:45,1,Cadmium Extractable,48302,0.5,UG/L,,L,U
82PY000090,4/22/1982 15:00,1,Dissolved nitrite/nitrate,7110,30,UG/L,,,U
82PY000554,11/12/1982 13:47,1,Dissolved nitrite/nitrate,7110,12,UG/L,,,U
82PY000569,11/19/1982 15:05,1,Dissolved nitrite/nitrate,7110,30,UG/L,,,U
82PY000632,11/26/1982 14:15,1,Dissolved nitrite/nitrate,7110,18,UG/L,,,U
83PY000159,2/25/1983 11:10,1,Dissolved nitrite/nitrate,7110,60,UG/L,,,U
83PY000380,5/20/1983 18:20,1,Cadmium Extractable,48302,0.5,UG/L,,L,U
83PY000432,6/10/1983 15:20,1,Dissolved nitrite/nitrate,7110,5,UG/L,,,U
83PY000472,6/24/1983 13:45,1,Cadmium Extractable,48302,0.5,UG/L,,L,U
83PY001369,10/28/1983 15:05,1,Cadmium Extractable,48302,0.5,UG/L,,L,U
85PY000618,5/10/1985 14:10,1,Dissolved nitrite/nitrate,7110,38,UG/L,,,U
85PY001083,6/27/1985 15:15,1,Dissolved nitrite/nitrate,7110,15,UG/L,,,U
85PY003213,2/8/1985 14:48,1,Dissolved nitrite/nitrate,7110,25,UG/L,,,U
86PY001240,8/22/1986 14:00,1,Dissolved nitrite/nitrate,7110,5,UG/L,,,U
87PY001559,10/16/1987 15:00,1,Dissolved nitrite/nitrate,7110,2,UG/L,,L,U
88PY000149,1/15/1988 16:00,1,Dissolved nitrite/nitrate,7110,13,UG/L,,,U
88PY001799,8/12/1988 15:05,1,Dissolved nitrite/nitrate,7110,2,UG/L,,L,U
05PY001206,12/19/2005 13:35,1,Boron Total,97501,0.5,UG/L,0.5,L,P
08PY001023,5/20/2008 10:45,1,Boron Total,97501,1.7,UG/L,0.5,,P
08PY001089,6/17/2008 10:25,1,Boron Total,97501,1.7,UG/L,0.5,,P
08PY001190,7/14/2008 10:55,1,Carbon Dissolved Inorganic,201144,10700,UG/L,0.5,,P
08PY001340,8/5/2008 14:50,1,Boron Total,97501,1.6,UG/L,0.5,,P
09PY001320,9/17/2009 9:57,1,Carbon Dissolved Inorganic,201144,9200,UG/L,0.5,,P
10PY005443,3/3/2010 11:00,1,Carbon Dissolved Inorganic,201144,10100,UG/L,0.5,,P
