Sample Number,Sample Time,Sample Type Code,Variable Name,VMV Code,Value,Unit Code,Detection Limit,Flag,Status
93PY000511,3/10/1993 14:10,1,Residue fixed nonfilterable,10501,10000,UG/L,,L,U
93PY000778,4/5/1993 14:05,1,Residue fixed nonfilterable,10501,10000,UG/L,,L,U
93PY000858,5/4/1993 19:25,1,Residue fixed nonfilterable,10501,10000,UG/L,,L,U
93PY000887,5/17/1993 18:30,1,Beryllium Total,4010,0.36,UG/L,,,U
93PY001561,8/9/1993 19:15,1,Specific Conductance,2041,463,USIE/CM,,,U
93PY001980,9/20/1993 19:00,1,Fluoride Dissolved,9105,110,UG/L,,,U
93PY002051,10/4/1993 15:30,1,Vanadium Total,23009,0.2,UG/L,,,U
95PY001416,8/2/1995 8:45,1,Hardness total,10602,211200,UG/L,0.4,,U
95PY002087,11/5/1995 16:15,1,Hardness total,10602,286000,UG/L,0.4,,U
96PY001554,5/15/1996 19:00,1,Specific Conductance,2041,482,USIE/CM,2,,U
96PY001288,5/1/1996 13:00,1,Specific Conductance,2041,550,USIE/CM,2,,U
96PY005651,10/10/1996 14:15,1,Beryllium Total,100218,0.05,UG/L,0.05,,U
96PY005273,9/25/1996 16:15,1,Calcium  extractable/unfiltered,20321,63900,UG/L,0.1,,U
96PY007118,12/15/1996 15:00,1,Vanadium Total,100230,0.1,UG/L,0.0001,,U
17PY005786,10/18/2016 13:32,1,Arsenic Dissolved,107942,0.14,UG/L,0.01,,U
17PY005786,10/18/2016 13:32,1,Niobium Total,107923,0.002,UG/L,0.002,L,U
17PY005987,2/28/2017 13:26,1,Iron Dissolved,107953,2.7,UG/L,0.5,,P
17PY006096,3/21/2017 12:53,1,Lithium Dissolved,107956,28,UG/L,0.01,,U
17PY006224,4/25/2017 12:28,1,Chromium Dissolved,107950,0.06,UG/L,0.02,,U
17PY006304,5/16/2017 12:47,1,Cadmium Dissolved,107947,0.181,UG/L,0.001,,U
17PY006304,5/16/2017 12:47,1,Manganese Dissolved,107957,26.7,UG/L,0.05,,U
17PY006339,7/11/2017 14:10,1,Chromium Dissolved,107950,0.09,UG/L,0.02,,U
17PY006339,7/11/2017 14:10,1,Iron Dissolved,107953,44.3,UG/L,0.5,,P
17PY006339,7/11/2017 14:10,1,Thallium Dissolved,107970,0.007,UG/L,0.001,,U
17PY006649,9/4/2017 12:49,1,Cadmium Dissolved,107947,0.079,UG/L,0.001,,U
17PY006649,9/4/2017 12:49,1,Niobium Total,107923,0.002,UG/L,0.002,L,U
18PY005138,11/21/2017 13:18,1,Platinum Total,107927,0.001,UG/L,0.001,L,U
