station_no,station_name,stnShortName,BasinName,SubBasinName,PEARSEDA
YT08AA0010,Dezadeash River at Haines Junction,Dezadeash River,Pacific,Alsek,PACIFIC COASTAL
YT08AB0009,Alsek River above Bates River in Kluane National Park,Alsek River in Kluane NP,Pacific,Alsek,PACIFIC COASTAL
YT09AB0006,Yukon River below Marsh Lake,Yukon River below Marsh Lake,Yukon,Upper Yukon,YUKON
YT09AB0008,Yukon River above Takhini River,Yukon River above Takhini River,NA,NA,YUKON
YT09BC0021,Rose Creek above Anvil Creek,Rose Creek,NA,NA,YUKON
YT09DD0008,South McQuesten River below Flat Creek,South McQuesten River,NA,NA,YUKON
YT09DD0014,Haggart Creek above South McQuesten River,Haggart Creek,NA,NA,YUKON
YT09EA0001,"Klondike River above Bonanza Creek, near Dawson",Klondike River,Yukon,Central Yukon,YUKON
YT09FB0002,"Eagle River at Dempster Highway, near Eagle Plains",Eagle River,Yukon,Porcupine,YUKON
YT09FB0003,Porcupine River above Old Crow River,Porcupine River,Yukon,Porcupine,YUKON
YT09FC0002,Old Crow River at mouth,Old Crow River,NA,NA,YUKON
YT10AA0001,Liard River at Upper Crossing,Liard River at Upper Crossing,Arctic,Upper Liard,LOWER MACKENZIE
YT10MA0011,Ogilvie River above Engineer Creek,Ogilvie River,Arctic,Peel and Northwest Arctic Ocean,LOWER MACKENZIE
