Sample Number,Sample Time,Sample Type Code,Variable Name,VMV Code,Value,Unit Code,Detection Limit,Flag,Status
93PY000027,1/6/1993 12:31,1,Colour Apparent,2011,5,REL UNIT,,L,P
94PY000909,5/13/1994 11:58,1,Turbidity,2074,13,NTU,,,P
94PY002053,10/14/1994 14:00,1,Carbon Total Inorganic,100531,13800,UG/L,,,P
95PY000124,12/16/1994 13:30,1,Temperature (water),2061,0,DEG C,,,P
95PY000124,12/16/1994 13:30,1,Iron Total,100223,424,UG/L,,,P
95PY000872,5/9/1995 11:30,1,Bromide Dissolved,101535,50,UG/L,,L,P
95PY001913,10/10/1995 10:48,1,Iron Total,100223,1910,UG/L,0.0004,,P
96PY000414,2/26/1996 15:21,1,Beryllium Total,100218,0.05,UG/L,0.05,,P
96PY000414,2/26/1996 15:21,1,Nickel Total,100227,0.4,UG/L,0.0002,,P
97PY001529,3/26/1997 11:20,1,Aluminum Total,100216,164,UG/L,0.002,,P
97PY004867,8/7/1997 12:33,1,Aluminum Total,100216,20000,UG/L,0.002,,P
02PY000770,5/1/2002 12:00,1,Aluminum Total,100216,1120,UG/L,0.002,,P
01PY006171,9/25/2001 13:45,1,Cadmium Extractable,100491,0.023,UG/L,0.005,,P
01PY006171,9/25/2001 13:45,1,Gallium Extractable,100484,0.671,UG/L,0.002,,P
02PY000129,1/16/2002 14:00,1,Temperature (water),1125,0,DEG C,,,P
02PY001114,7/19/2002 14:15,1,Iron Total,100223,5900,UG/L,0.0004,,P
02PY001455,10/11/2002 10:15,1,Gallium Extractable,100484,1.07,UG/L,0.002,,P
03PY001536,5/23/2003 12:50,1,Turbidity,2074,25.9,NTU,0.05,,P
04PY002576,8/18/2004 13:50,1,Aluminum Total,97998,9900,UG/L,0.2,,P
06PY001677,12/13/2006 13:45,1,Aluminum Total,97998,684,UG/L,0.2,,P
06PY001710,9/7/2006 12:45,1,Fluoride Dissolved,201836,140,UG/L,0.01,,P
07PY000854,3/13/2007 12:05,1,Fluoride Dissolved,201836,60,UG/L,0.01,,P
07PY001345,7/18/2007 13:35,1,Fluoride Dissolved,201836,70,UG/L,0.01,,P
07PY001441,10/23/2007 15:30,1,Fluoride Dissolved,201836,70,UG/L,0.01,,P
07PY001441,10/23/2007 15:30,1,Sulphate Dissolved,16309,20900,UG/L,0.5,,P
08PY000601,4/11/2008 13:30,1,Vanadium Total,97529,0.951,UG/L,0.005,,P
08PY001037,5/28/2008 12:30,1,Lanthanum Total,97513,0.638,UG/L,0.001,,P
09PY001089,6/25/2009 9:15,1,Aluminum Total,97998,1650,UG/L,0.2,,P
09PY001089,6/25/2009 9:15,1,Iron Total,97511,1880,UG/L,0.5,,P
09PY001106,7/15/2009 13:30,1,Fluoride Dissolved,201836,70,UG/L,0.01,,P
09PY001429,10/15/2009 15:55,1,Aluminum Total,97998,3180,UG/L,0.2,,P
10PY005479,4/6/2010 13:15,1,Lanthanum Total,107919,0.226,UG/L,0.001,,P
93PY000027,1/6/1993 12:31,1,Temperature (water),2061,1,DEG C,,,P
94PY000909,5/13/1994 11:58,1,Vanadium Total,23009,1.9,UG/L,0.0001,,P
95PY000528,3/3/1995 11:50,1,Iron Total,100223,137,UG/L,,,P
95PY001501,8/7/1995 12:50,1,Beryllium Total,100218,0.1,UG/L,0.05,,P
95PY001401,7/29/1995 17:31,1,Turbidity,2074,40,NTU,0.05,,P
95PY001142,6/20/1995 12:30,1,Carbon Total Inorganic,100531,17900,UG/L,1,,P
95PY002044,10/31/1995 11:08,1,Iron Total,100223,1080,UG/L,0.0004,,P
95PY001913,10/10/1995 10:48,1,Carbon Total Inorganic,100531,13400,UG/L,1,,P
96PY000628,3/20/1996 12:30,1,Turbidity,2074,3.5,NTU,0.05,,P
96PY001851,5/27/1996 16:05,1,Specific Conductance,2041,191,USIE/CM,2,,P
96PY001851,5/27/1996 16:05,1,Sulphate Dissolved,16309,22600,UG/L,0.5,,P
96PY003550,8/5/1996 12:40,1,Sulphate Dissolved,16309,20000,UG/L,0.5,,P
96PY006561,11/18/1996 13:50,1,Iron Total,100223,910,UG/L,0.0004,,P
02PY001216,8/14/2002 17:45,1,Iron Total,100223,10000,UG/L,0.0004,,P
03PY001514,4/9/2003 11:00,1,Fluoride Dissolved,201836,70,UG/L,0.01,,P
03PY001536,5/23/2003 12:50,1,Bromide Dissolved,101535,50,UG/L,0.05,L,P
04PY002205,6/4/2004 13:55,1,Sulphate Dissolved,16309,24500,UG/L,0.5,,P
05PY000166,1/20/2005 12:40,1,Sulphate Dissolved,16309,21700,UG/L,0.5,,P
05PY000229,5/17/2005 10:45,1,Carbon Dissolved Inorganic,201144,19100,UG/L,0.5,,P
05PY001099,7/15/2005 14:20,1,Bromide Dissolved,101535,50,UG/L,0.05,L,P
06PY001677,12/13/2006 13:45,1,Iron Total,97511,557,UG/L,0.5,,P
06PY001677,12/13/2006 13:45,1,Fluoride Dissolved,201836,80,UG/L,0.01,,P
07PY001094,5/31/2007 14:20,1,Carbon Dissolved Inorganic,201144,18400,UG/L,0.5,,P
07PY001441,10/23/2007 15:30,1,Boron Total,97501,8.6,UG/L,0.5,,P
08PY000501,1/23/2008 15:30,1,Specific Conductance,2041,173,USIE/CM,2,,P
08PY001037,5/28/2008 12:30,1,Boron Total,97501,11.1,UG/L,0.5,,P
08PY001191,7/14/2008 11:58,1,Turbidity,2074,43.3,NTU,0.05,,P
09PY001106,7/15/2009 13:30,1,Iron Total,97511,2990,UG/L,0.5,,P
09PY001429,10/15/2009 15:55,1,Specific Conductance,2041,168,USIE/CM,2,,P
10PY005178,2/5/2010 12:15,1,Turbidity,2074,19.1,NTU,0.05,,P
10PY005882,7/28/2010 12:50,1,Fluoride Dissolved,201836,50,UG/L,0.01,,P
10PY005882,7/28/2010 12:50,1,Sulphate Dissolved,16309,22200,UG/L,0.5,,P
92PY001868,11/5/1992 12:30,1,Colour Apparent,2011,10,REL UNIT,,,P
92PY001868,11/5/1992 12:30,1,Sulphate Dissolved,16306,19000,UG/L,,,P
93PY002502,12/3/1993 11:53,1,Carbon Total Inorganic,100531,16400,UG/L,,,P
93PY002565,12/14/1993 14:20,1,Vanadium Total,23009,2.4,UG/L,,,P
93PY002565,12/14/1993 14:20,1,Iron Total,26009,786,UG/L,,,P
95PY000872,5/9/1995 11:30,1,Nickel Total,100227,0.9,UG/L,,,P
95PY001401,7/29/1995 17:31,1,Specific Conductance,2041,153,USIE/CM,2,,P
95PY001913,10/10/1995 10:48,1,Nickel Total,100227,2.4,UG/L,0.0002,,P
95PY001913,10/10/1995 10:48,1,Bromide Dissolved,101535,50,UG/L,,,P
96PY000054,1/2/1996 12:01,1,Beryllium Total,100218,0.05,UG/L,0.05,,P
96PY000054,1/2/1996 12:01,1,Sulphate Dissolved,16309,20000,UG/L,0.5,,P
96PY000414,2/26/1996 15:21,1,Specific Conductance,2041,166,USIE/CM,2,,P
96PY000414,2/26/1996 15:21,1,Bromide Dissolved,101535,50,UG/L,,,P
96PY003550,8/5/1996 12:40,1,Beryllium Total,100218,0.07,UG/L,0.05,,P
97PY004867,8/7/1997 12:33,1,Bromide Dissolved,101535,50,UG/L,,,P
97PY008108,11/26/1997 12:00,1,Aluminum Total,100216,2100,UG/L,0.002,,P
97PY008108,11/26/1997 12:00,1,Carbon Dissolved Inorganic,201144,11600,UG/L,0.5,,P
02PY000129,1/16/2002 14:00,1,Lead Extractable,100496,0.387,UG/L,0.005,,P
