Sample Number,Sample Time,Sample Type Code,Variable Name,VMV Code,Value,Unit Code,Detection Limit,Flag,Status
08PY001409,8/19/2008 14:40,1,Vanadium Total,97529,0.165,UG/L,0.005,,U
08PY001423,9/1/2008 10:10,1,Beryllium Total,97503,0.011,UG/L,0.001,,U
08PY001437,9/14/2008 9:50,1,Cyanide weak acid dissociable,1316,10,UG/L,0.01,L,U
09PY000704,2/15/2009 12:50,1,Phosphorus Total,15413,4.3,UG/L,0.0005,,U
09PY001115,7/19/2009 10:37,1,Vanadium Total,97529,0.143,UG/L,0.005,,U
09PY001221,6/21/2009 10:40,1,Boron Total,97501,1.6,UG/L,0.5,,U
09PY001221,6/21/2009 10:40,1,Phosphorus Total,15413,3.6,UG/L,0.0005,,U
10PY005171,1/17/2010 14:30,1,Carbon Dissolved Inorganic,201144,35900,UG/L,0.5,,U
10PY005452,3/14/2010 14:20,1,Boron Total,107907,1.9,UG/L,0.5,,U
10PY005908,8/16/2010 11:03,1,Boron Total,107907,1.9,UG/L,0.5,,U
10PY006169,9/12/2010 11:55,1,Fluoride Dissolved,201836,100,UG/L,0.01,,U
11PY005284,1/2/2011 12:30,1,Boron Total,107907,2.7,UG/L,0.5,,U
11PY005764,5/8/2011 10:50,1,Fluoride Dissolved,201836,100,UG/L,0.01,,U
11PY005928,7/3/2011 12:30,1,Vanadium Total,107936,0.17,UG/L,0.005,,U
11PY006205,11/27/2011 10:35,1,Carbon Dissolved Inorganic,201144,40400,UG/L,0.5,,U
12PY006123,7/22/2012 8:45,1,Carbon Dissolved Inorganic,201144,19500,UG/L,0.5,,U
13PY005692,4/21/2013 9:20,1,Boron Total,97501,2.3,UG/L,0.5,,U
13PY005706,5/20/2013 11:55,1,Boron Total,97501,1.4,UG/L,0.5,,U
13PY005706,5/20/2013 11:55,1,Fluoride Dissolved,201836,80,UG/L,0.01,,U
13PY006169,6/16/2013 13:20,1,Fluoride Dissolved,201836,80,UG/L,0.01,,U
10PY005481,4/11/2010 11:30,1,Cyanide weak acid dissociable,1316,6,UG/L,0.006,L,U
10PY005496,5/9/2010 20:10,1,Cyanide weak acid dissociable,1316,6,UG/L,0.006,L,U
13PY006199,7/28/2013 11:30,1,Fluoride Dissolved,201836,110,UG/L,0.01,,U
13PY006203,8/19/2013 10:20,1,Beryllium Total,107909,0.006,UG/L,0.001,,U
14PY005387,1/19/2014 11:55,1,Vanadium Total,107936,0.047,UG/L,0.005,,U
14PY005432,12/15/2013 11:25,1,Phosphorus Total,15413,4.4,UG/L,0.0005,,U
14PY005432,12/15/2013 11:25,1,Sodium dissolved/filtered,1178,4400,UG/L,0.1,,U
14PY006050,6/15/2014 15:50,1,Carbon Dissolved Inorganic,201144,16900,UG/L,0.5,,U
15PY005894,6/14/2015 11:25,1,Phosphorus Total,15406,2.9,UG/L,0.0005,,U
15PY005713,12/14/2014 10:55,1,Vanadium Total,107936,0.049,UG/L,0.005,,U
15PY005700,11/16/2014 12:23,1,Cyanide weak acid dissociable,109642,6,UG/L,0.006,L,U
15PY005737,2/15/2015 11:12,1,Beryllium Total,107909,0.003,UG/L,0.001,,U
08PY001106,6/22/2008 20:10,1,Colour True,2021,17.5,REL UNIT,2.5,,U
08PY001184,7/7/2008 14:25,1,Fluoride Dissolved,201836,120,UG/L,0.01,,U
08PY001422,8/27/2008 10:13,1,Boron Total,97501,0.8,UG/L,0.5,,U
08PY001422,8/27/2008 10:13,1,Phosphorus Total,15413,13.7,UG/L,0.0005,,U
08PY001485,10/12/2008 12:00,1,Phosphorus Total,15413,2.4,UG/L,0.0005,,U
08PY001507,11/9/2008 11:35,1,Phosphorus Total,15413,3.7,UG/L,0.0005,,U
08PY001537,10/26/2008 12:30,1,Phosphorus Total,15413,3.2,UG/L,0.0005,,U
09PY000694,2/1/2009 12:20,1,Beryllium Total,97503,0.001,UG/L,0.001,,U
09PY001028,6/8/2009 9:30,1,Cyanide weak acid dissociable,1316,10,UG/L,0.01,L,U
09PY001476,11/8/2009 12:30,1,Colour True,2021,2.5,REL UNIT,2.5,L,U
10PY005466,3/28/2010 11:00,1,Fluoride Dissolved,201836,170,UG/L,0.01,,U
10PY005863,7/4/2010 13:20,1,Phosphorus Total,15413,11.3,UG/L,0.0005,,U
10PY006170,9/26/2010 10:05,1,Boron Total,107907,1.4,UG/L,0.5,,U
10PY006249,10/11/2010 10:35,1,Colour True,2021,8,REL UNIT,2.5,,U
10PY006304,12/5/2010 12:37,1,Carbon Dissolved Inorganic,201144,40500,UG/L,0.5,,U
11PY005309,2/6/2011 11:33,1,Carbon Dissolved Inorganic,201144,38200,UG/L,0.5,,U
11PY005713,4/10/2011 10:20,1,Carbon Dissolved Inorganic,201144,48200,UG/L,0.5,,U
11PY006205,11/27/2011 10:35,1,Fluoride Dissolved,201836,120,UG/L,0.01,,U
12PY006188,11/12/2012 9:42,1,Vanadium Total,97529,0.056,UG/L,0.005,,U
12PY006188,11/12/2012 9:42,1,Fluoride Dissolved,201836,110,UG/L,0.01,,U
13PY005523,2/24/2013 10:10,1,Boron Total,97501,2,UG/L,0.5,,U
13PY005523,2/24/2013 10:10,1,Fluoride Dissolved,201836,110,UG/L,0.01,,U
13PY006253,10/21/2013 14:48,1,Vanadium Total,107936,0.09,UG/L,0.005,,U
11PY005803,6/12/2011 11:20,1,Cyanide weak acid dissociable,1316,6,UG/L,0.006,L,U
14PY005432,12/15/2013 11:25,1,Carbon Dissolved Inorganic,201144,34300,UG/L,0.5,,U
14PY006212,5/11/2014 11:10,1,Vanadium Total,107936,0.803,UG/L,0.005,,U
15PY005613,8/18/2014 11:02,1,Boron Total,107907,1.2,UG/L,0.5,,U
08PY000846,2/25/2008 16:25,1,Vanadium Total,97529,0.125,UG/L,0.005,,U
08PY001033,5/25/2008 15:50,1,Fluoride Dissolved,201836,80,UG/L,0.01,,U
08PY001106,6/22/2008 20:10,1,Boron Total,97501,1,UG/L,0.5,,U
08PY001507,11/9/2008 11:35,1,Boron Total,97501,1.2,UG/L,0.5,,U
08PY001521,11/23/2008 12:20,1,Beryllium Total,97503,0.006,UG/L,0.001,,U
08PY001537,10/26/2008 12:30,1,Beryllium Total,97503,0.003,UG/L,0.001,,U
08PY001538,12/7/2008 11:40,1,Boron Total,97501,1.4,UG/L,0.5,,U
09PY000429,1/18/2009 15:10,1,Vanadium Total,97529,0.073,UG/L,0.005,,U
09PY000694,2/1/2009 12:20,1,Vanadium Total,97529,0.063,UG/L,0.005,,U
09PY000722,3/29/2009 9:55,1,Carbon Dissolved Inorganic,201144,38000,UG/L,0.5,,U
09PY001101,7/5/2009 9:26,1,Phosphorus Total,15413,4,UG/L,0.0005,,U
09PY001115,7/19/2009 10:37,1,Phosphorus Total,15413,4.3,UG/L,0.0005,,U
09PY001221,6/21/2009 10:40,1,Beryllium Total,97503,0.008,UG/L,0.001,,U
10PY005466,3/28/2010 11:00,1,Vanadium Total,107936,0.108,UG/L,0.005,,U
10PY005486,4/25/2010 11:50,1,Colour True,2021,20,REL UNIT,2.5,,U
10PY005496,5/9/2010 20:10,1,Boron Total,107907,1.7,UG/L,0.5,,U
10PY005861,6/6/2010 14:55,1,Phosphorus Total,15413,13.3,UG/L,0.0005,,U
10PY005863,7/4/2010 13:20,1,Boron Total,107907,1.3,UG/L,0.5,,U
11PY005484,2/20/2011 11:28,1,Beryllium Total,107909,0.002,UG/L,0.001,,U
11PY005803,6/12/2011 11:20,1,Colour True,2021,25,REL UNIT,2.5,,U
11PY005928,7/3/2011 12:30,1,Beryllium Total,107909,0.011,UG/L,0.001,,U
12PY005494,2/5/2012 10:55,1,Boron Total,97501,1.5,UG/L,0.5,,U
12PY006112,6/17/2012 11:20,1,Phosphorus Total,15413,7.7,UG/L,0.0005,,U
12PY006132,8/20/2012 9:00,1,Boron Total,97501,1.5,UG/L,0.5,,U
12PY006132,8/20/2012 9:00,1,Carbon Dissolved Inorganic,201144,22500,UG/L,0.5,,U
12PY006152,9/16/2012 10:18,1,Vanadium Total,97529,0.122,UG/L,0.005,,U
12PY006210,12/16/2012 12:25,1,Colour True,2021,2.5,REL UNIT,2.5,L,U
13PY005675,2/3/2013 10:30,1,Beryllium Total,97503,0.002,UG/L,0.001,,U
13PY005675,2/3/2013 10:30,1,Boron Total,97501,2.2,UG/L,0.5,,U
13PY005675,2/3/2013 10:30,1,Fluoride Dissolved,201836,130,UG/L,0.01,,U
10PY005861,6/6/2010 14:55,1,Cyanide weak acid dissociable,1316,6,UG/L,0.006,L,U
10PY006266,10/24/2010 11:45,1,Cyanide weak acid dissociable,1316,6,UG/L,0.006,L,U
14PY005432,12/15/2013 11:25,1,Vanadium Total,107936,0.151,UG/L,0.005,,U
08PY000862,5/11/2008 14:10,1,Fluoride Dissolved,201836,120,UG/L,0.01,,U
08PY001088,6/11/2008 9:43,1,Silver Total,97997,0.01,UG/L,0.001,,U
08PY001088,6/11/2008 9:43,1,Phosphorus Total,15413,6.6,UG/L,0.0005,,U
08PY001088,6/11/2008 9:43,1,Carbon Dissolved Inorganic,201144,11700,UG/L,0.5,,U
08PY001320,7/20/2008 13:50,1,Phosphorus Total,15413,5.1,UG/L,0.0005,,U
08PY001437,9/14/2008 9:50,1,Fluoride Dissolved,201836,130,UG/L,0.01,,U
08PY001485,10/12/2008 12:00,1,Beryllium Total,97503,0.005,UG/L,0.001,,U
08PY001521,11/23/2008 12:20,1,Cyanide weak acid dissociable,1316,10,UG/L,0.01,L,U
08PY001521,11/23/2008 12:20,1,Vanadium Total,97529,0.07,UG/L,0.005,,U
09PY000694,2/1/2009 12:20,1,Cyanide weak acid dissociable,1316,10,UG/L,0.01,L,U
09PY000694,2/1/2009 12:20,1,Phosphorus Total,15413,2.2,UG/L,0.0005,,U
09PY000704,2/15/2009 12:50,1,Silver Total,97997,0.002,UG/L,0.001,,U
09PY000711,3/1/2009 11:55,1,Boron Total,97501,1.8,UG/L,0.5,,U
09PY001028,6/8/2009 9:30,1,Beryllium Total,97503,0.025,UG/L,0.001,,U
10PY005445,2/28/2010 14:15,1,Beryllium Total,107909,0.003,UG/L,0.05,,U
10PY005908,8/16/2010 11:03,1,Fluoride Dissolved,201836,150,UG/L,0.01,,U
10PY006307,12/19/2010 10:45,1,Phosphorus Total,15413,1.2,UG/L,0.0005,,U
10PY006312,11/7/2010 11:40,1,Silver Total,107904,0.001,UG/L,0.001,L,U
10PY006312,11/7/2010 11:40,1,Colour True,2021,2.5,REL UNIT,2.5,L,U
11PY006219,12/18/2011 11:20,1,Beryllium Total,107909,0.003,UG/L,0.001,,U
11PY006219,12/18/2011 11:20,1,Fluoride Dissolved,201836,130,UG/L,0.01,,U
12PY005731,5/27/2012 10:45,1,Boron Total,97501,0.6,UG/L,0.5,,U
12PY006161,10/14/2012 9:57,1,Carbon Dissolved Inorganic,201144,24500,UG/L,0.5,,U
13PY005675,2/3/2013 10:30,1,Carbon Dissolved Inorganic,201144,42800,UG/L,0.5,,U
10PY006170,9/26/2010 10:05,1,Cyanide weak acid dissociable,1316,8,UG/L,0.006,,A1
13PY006203,8/19/2013 10:20,1,Sodium dissolved/filtered,1178,2700,UG/L,0.1,,U
13PY006253,10/21/2013 14:48,1,Colour True,2021,5,REL UNIT,2.5,,U
14PY005387,1/19/2014 11:55,1,Phosphorus Total,15413,3.4,UG/L,0.0005,,U
08PY000862,5/11/2008 14:10,1,Beryllium Total,97503,0.035,UG/L,0.001,,U
08PY001088,6/11/2008 9:43,1,Vanadium Total,97529,0.289,UG/L,0.005,,U
08PY001507,11/9/2008 11:35,1,Beryllium Total,97503,0.004,UG/L,0.001,,U
08PY001507,11/9/2008 11:35,1,Fluoride Dissolved,201836,140,UG/L,0.01,,U
