Sample Number,Sample Time,Sample Type Code,Variable Name,VMV Code,Value,Unit Code,Detection Limit,Flag,Status
15PY006057,8/3/2015 15:40,1,Carbon Dissolved Inorganic,201144,21600,UG/L,0.3,,U
15PY006061,8/18/2015 15:30,1,Iron Dissolved,107953,27,UG/L,0.5,,U
16PY005020,12/1/2015 13:00,1,Antimony Dissolved,107965,0.499,UG/L,0.001,,U
17PY005507,2/1/2016 14:10,1,Iron Dissolved,107953,7.1,UG/L,0.5,,U
17PY005507,2/1/2016 14:10,1,Specific Conductance,2041,403,USIE/CM,2,,U
17PY005552,5/30/2016 12:30,1,Antimony Dissolved,107965,0.527,UG/L,0.001,,U
17PY005552,5/30/2016 12:30,1,Beryllium Total,107909,0.006,UG/L,0.001,,U
17PY005592,10/3/2016 13:30,1,Cadmium Dissolved,107947,0.012,UG/L,0.001,,U
17PY005592,10/3/2016 13:30,1,Selenium Dissolved,107966,0.27,UG/L,0.01,,U
17PY005314,5/2/2016 12:30,1,Titanium Dissolved,107969,1.12,UG/L,0.05,,U
17PY005695,7/4/2016 12:15,1,Carbon Dissolved Inorganic,201144,23300,UG/L,0.3,,U
17PY005707,8/1/2016 13:05,1,Titanium Dissolved,107969,0.09,UG/L,0.05,,U
17PY005783,10/17/2016 13:15,1,Iron Dissolved,107953,8.2,UG/L,0.5,,U
17PY005791,10/31/2016 11:50,1,Sodium dissolved/filtered,1178,2300,UG/L,0.1,,U
17PY005910,12/19/2016 13:15,1,Selenium Dissolved,107966,0.35,UG/L,0.01,,U
17PY005977,2/14/2017 15:00,1,Sodium dissolved/filtered,1178,2600,UG/L,0.1,,U
17PY006103,4/3/2017 8:45,1,Antimony Dissolved,107965,0.437,UG/L,0.001,,U
17PY006233,5/1/2017 12:30,1,Manganese Dissolved,107957,41,UG/L,0.05,,U
17PY006233,5/1/2017 12:30,1,Sodium dissolved/filtered,1178,1300,UG/L,0.1,,U
17PY006314,5/29/2017 14:40,1,Selenium Dissolved,107966,0.22,UG/L,0.01,,U
17PY006335,7/5/2017 11:58,1,Arsenic Dissolved,107942,2.68,UG/L,0.01,,U
17PY006340,7/31/2017 14:15,1,Rubidium Dissolved,107964,0.871,UG/L,0.001,,U
17PY006534,7/19/2017 13:15,1,Iron Dissolved,107953,35.5,UG/L,0.5,,U
18PY005315,12/4/2017 13:45,1,Iron Dissolved,107953,7.4,UG/L,0.5,,U
18PY005324,12/18/2017 14:00,1,Antimony Dissolved,107965,0.444,UG/L,0.001,,U
18PY005611,1/17/2018 14:15,1,Manganese Dissolved,107957,12,UG/L,0.05,,U
16PY005002,10/14/2015 14:30,1,Carbon Dissolved Inorganic,201144,23200,UG/L,0.3,,U
15PY006063,9/1/2015 12:55,1,Cadmium Dissolved,107947,0.016,UG/L,0.001,,U
15PY006110,11/2/2015 14:00,1,Arsenic Dissolved,107942,2.5,UG/L,0.01,,U
15PY006110,11/2/2015 14:00,1,Copper Dissolved,107952,0.85,UG/L,0.02,,U
15PY006057,8/3/2015 15:40,1,Cadmium Dissolved,107947,0.009,UG/L,0.001,,U
16PY005055,1/4/2016 14:00,1,Cadmium Dissolved,107947,0.013,UG/L,0.001,,U
16PY005055,1/4/2016 14:00,1,Selenium Dissolved,107966,0.4,UG/L,0.01,,U
16PY005001,6/17/2015 10:40,1,Cadmium Dissolved,107947,0.006,UG/L,0.001,,U
16PY005001,6/17/2015 10:40,1,Selenium Dissolved,107966,0.26,UG/L,0.01,,U
16PY005014,11/15/2015 15:00,1,Lithium Dissolved,107956,4.1,UG/L,0.01,,U
16PY005054,12/14/2015 15:40,1,Arsenic Dissolved,107942,2.58,UG/L,0.01,,U
17PY005399,8/31/2016 12:15,1,Cadmium Dissolved,107947,0.012,UG/L,0.001,,U
17PY005540,4/4/2016 0:00,1,Carbon Dissolved Inorganic,201144,29100,UG/L,0.3,,U
17PY005592,10/3/2016 13:30,1,Lithium Dissolved,107956,4.12,UG/L,0.01,,U
17PY005319,5/16/2016 11:50,1,Boron Total,107907,0.9,UG/L,0.5,,U
17PY005319,5/16/2016 11:50,1,Specific Conductance,2041,154,USIE/CM,2,,U
17PY005336,6/15/2016 13:30,1,Titanium Total,107933,1.28,UG/L,0.05,,U
17PY005336,6/15/2016 13:30,1,Carbon Dissolved Inorganic,201144,21200,UG/L,0.3,,U
17PY005695,7/4/2016 12:15,1,Boron Total,107907,1.1,UG/L,0.5,,U
17PY005783,10/17/2016 13:15,1,Cadmium Dissolved,107947,0.013,UG/L,0.001,,U
17PY005791,10/31/2016 11:50,1,Copper Dissolved,107952,1.13,UG/L,0.05,,U
17PY005890,3/16/2016 13:00,1,Selenium Dissolved,107966,0.4,UG/L,0.01,,U
17PY005910,12/19/2016 13:15,1,Carbon Dissolved Inorganic,201144,30300,UG/L,0.3,,U
17PY005977,2/14/2017 15:00,1,Boron Total,107907,1.4,UG/L,0.5,,U
17PY005977,2/14/2017 15:00,1,Cadmium Dissolved,107947,0.018,UG/L,0.001,,U
17PY006095,3/15/2017 16:40,1,Arsenic Dissolved,107942,2.37,UG/L,0.01,,U
17PY006095,3/15/2017 16:40,1,Selenium Dissolved,107966,0.5,UG/L,0.01,,U
17PY006233,5/1/2017 12:30,1,Arsenic Dissolved,107942,3.04,UG/L,0.01,,U
17PY006233,5/1/2017 12:30,1,Titanium Total,107933,2.37,UG/L,0.05,,U
17PY006461,2/1/2017 14:45,1,Boron Total,107907,1.8,UG/L,0.5,,U
17PY006677,10/4/2017 12:20,1,Arsenic Dissolved,107942,3.33,UG/L,0.01,,U
15PY006074,9/15/2015 12:30,1,Carbon Dissolved Inorganic,201144,20200,UG/L,0.3,,U
15PY006057,8/3/2015 15:40,1,Copper Dissolved,107952,0.94,UG/L,0.02,,U
17PY005527,2/29/2016 14:40,1,Iron Dissolved,107953,6.6,UG/L,0.5,,U
17PY005540,4/4/2016 0:00,1,Sodium dissolved/filtered,1178,2600,UG/L,0.1,,U
17PY005552,5/30/2016 12:30,1,Iron Dissolved,107953,36.4,UG/L,0.5,,U
17PY005552,5/30/2016 12:30,1,Rubidium Dissolved,107964,0.743,UG/L,0.001,,U
17PY005592,10/3/2016 13:30,1,Antimony Dissolved,107965,0.523,UG/L,0.001,,U
17PY005314,5/2/2016 12:30,1,Sodium dissolved/filtered,1178,1100,UG/L,0.1,,U
17PY005707,8/1/2016 13:05,1,Sodium dissolved/filtered,1178,1900,UG/L,0.1,,U
17PY005783,10/17/2016 13:15,1,Carbon Dissolved Inorganic,201144,26800,UG/L,0.3,,U
17PY005319,5/16/2016 11:50,1,Lithium Dissolved,107956,2.11,UG/L,0.01,,U
17PY005890,3/16/2016 13:00,1,Cyanide weak acid dissociable,109642,6,UG/L,0.006,L,U
17PY005890,3/16/2016 13:00,1,Beryllium Total,107909,0.002,UG/L,0.001,,U
17PY005990,2/28/2017 16:00,1,Vanadium Total,107936,0.05,UG/L,0.01,,U
17PY006095,3/15/2017 16:40,1,Lithium Dissolved,107956,5.85,UG/L,0.01,,U
17PY006095,3/15/2017 16:40,1,Titanium Dissolved,107969,0.05,UG/L,0.05,L,U
17PY006103,4/3/2017 8:45,1,Boron Total,107907,1.5,UG/L,0.5,,U
17PY006103,4/3/2017 8:45,1,Iron Dissolved,107953,4.1,UG/L,0.5,,U
17PY006221,4/18/2017 9:10,1,Boron Total,107907,1.4,UG/L,0.5,,U
17PY006320,6/14/2017 12:20,1,Sodium dissolved/filtered,1178,1900,UG/L,0.1,,U
17PY006335,7/5/2017 11:58,1,Manganese Dissolved,107957,8.28,UG/L,0.05,,U
17PY006534,7/19/2017 13:15,1,Rubidium Dissolved,107964,0.804,UG/L,0.001,,U
17PY006558,8/15/2017 12:45,1,Iron Dissolved,107953,8.3,UG/L,0.5,,U
17PY006558,8/15/2017 12:45,1,Titanium Total,107933,0.3,UG/L,0.05,,U
17PY006677,10/4/2017 12:20,1,Beryllium Total,107909,0.005,UG/L,0.001,,U
17PY006677,10/4/2017 12:20,1,Titanium Total,107933,0.86,UG/L,0.05,,U
18PY005312,11/1/2017 18:15,1,Beryllium Total,107909,0.002,UG/L,0.001,,U
18PY005314,11/14/2017 12:20,1,Vanadium Total,107936,0.08,UG/L,0.01,,U
18PY005611,1/17/2018 14:15,1,Iron Dissolved,107953,6.2,UG/L,0.5,,U
18PY005611,1/17/2018 14:15,1,Selenium Dissolved,107966,0.41,UG/L,0.01,,U
16PY005055,1/4/2016 14:00,1,Carbon Dissolved Inorganic,201144,28600,UG/L,0.3,,U
15PY006074,9/15/2015 12:30,1,Selenium Dissolved,107966,0.24,UG/L,0.01,,U
16PY005020,12/1/2015 13:00,1,Cadmium Dissolved,107947,0.016,UG/L,0.001,,U
16PY005055,1/4/2016 14:00,1,Rubidium Dissolved,107964,0.877,UG/L,0.001,,U
16PY005001,6/17/2015 10:40,1,Rubidium Dissolved,107964,0.697,UG/L,0.001,,U
