Sample Number,Sample Time,Sample Type Code,Variable Name,VMV Code,Value,Unit Code,Detection Limit,Flag,Status
07PY001379,8/27/2007 16:35,1,Uranium Total,97528,0.519,UG/L,0.0005,,U
07PY001443,9/9/2007 17:15,1,Aluminum Total,97998,40,UG/L,0.2,,U
07PY001443,9/9/2007 17:15,1,Beryllium Total,97503,0.008,UG/L,0.001,,U
07PY001443,9/9/2007 17:15,1,Rubidium Total,97521,0.29,UG/L,0.01,,U
07PY001469,12/2/2007 14:20,1,Carbon Dissolved Inorganic,201144,37800,UG/L,0.5,,U
08PY001335,7/29/2008 20:15,1,Iron Total,97511,1330,UG/L,0.5,,U
08PY001439,9/16/2008 18:02,1,Temperature (water),1125,4,DEG C,,,U
08PY001523,11/26/2008 13:55,1,Lithium Total,97514,2.6,UG/L,0.2,,U
08PY001523,11/26/2008 13:55,1,Uranium Total,97528,0.524,UG/L,0.0005,,U
14PY006056,6/18/2014 14:18,1,Vanadium Total,107936,3.62,UG/L,0.005,,U
15PY005903,6/23/2015 14:35,1,Sulphate Dissolved,16309,11900,UG/L,0.1,,U
15PY005692,4/20/2015 16:45,1,Rubidium Total,107928,1.17,UG/L,0.001,,U
15PY005692,4/20/2015 16:45,1,Silver Total,107904,0.001,UG/L,0.001,,U
15PY005692,4/20/2015 16:45,1,Uranium Total,107935,1.17,UG/L,0.0005,,U
15PY005952,8/19/2015 11:00,1,Beryllium Total,107909,0.016,UG/L,0.001,,U
15PY006094,9/19/2015 9:00,1,Niobium Total,107923,0.023,UG/L,0.001,,U
15PY005942,7/20/2015 10:05,1,Boron Total,107907,5.8,UG/L,0.5,,U
17PY005401,9/7/2016 15:10,1,Silicon Dissolved,1175,2000,UG/L,0.05,,U
17PY005532,3/1/2016 13:15,1,Carbon Total Inorganic,100531,44600,UG/L,0.3,,U
17PY005548,4/20/2016 13:10,1,Aluminum Total,107905,2.6,UG/L,0.5,,U
17PY005548,4/20/2016 13:10,1,Rubidium Total,107928,1.5,UG/L,0.001,,U
17PY005341,6/23/2016 13:15,1,Boron Total,107907,4.9,UG/L,0.5,,U
17PY005705,7/21/2016 7:30,1,pH,10301,8.08,PH,0.01,,U
17PY005390,8/19/2016 9:15,1,Sodium dissolved/filtered,1178,1200,UG/L,0.1,,U
17PY005390,8/19/2016 9:15,1,Iron Total,107917,4750,UG/L,0.5,,U
17PY005900,3/24/2016 8:15,1,Bromide Dissolved,101535,20,UG/L,0.02,L,U
17PY006104,4/4/2017 9:00,1,Carbon Total Inorganic,100531,50500,UG/L,0.3,,U
