Sample Number,Sample Time,Sample Type Code,Variable Name,VMV Code,Value,Unit Code,Detection Limit,Flag,Status
92PY000992,5/23/1992 12:10,1,Iron Total,26009,390,UG/L,,,P
94PY001451,7/18/1994 18:05,1,Iron Total,26009,204,UG/L,0.0004,,P
95PY000167,1/12/1995 9:20,1,Bromide Dissolved,101535,50,UG/L,,L,P
96PY004253,8/23/1996 11:52,1,Bromide Dissolved,101535,50,UG/L,,,P
98PY000030,12/29/1997 14:35,1,Iron Total,100223,55.7,UG/L,0.0004,,P
98PY006586,10/16/1998 16:00,1,Vanadium Total,100230,0.1,UG/L,0.0001,,P
98PY006586,10/16/1998 16:00,1,Carbon Dissolved Inorganic,201144,23000,UG/L,0.5,,P
99PY000169,1/15/1999 10:30,1,Bromide Dissolved,101535,50,UG/L,,L,P
99PY002379,5/9/1999 17:30,1,Iron Total,100223,762,UG/L,0.0004,,P
99PY006090,10/12/1999 17:30,1,Vanadium Total,100230,0.1,UG/L,0.0001,,P
99PY006499,10/27/1999 17:30,1,Bromide Dissolved,101535,50,UG/L,,L,P
99PY001897,4/20/1999 10:00,1,Carbon Dissolved Inorganic,201144,27400,UG/L,0.5,,P
00PY004247,7/19/2000 7:30,1,Carbon Dissolved Inorganic,201144,19200,UG/L,0.5,,P
00PY004672,8/7/2000 7:20,1,Carbon Dissolved Inorganic,201144,18600,UG/L,0.5,,P
01PY000101,1/7/2001 11:30,1,Carbon Dissolved Inorganic,201144,25900,UG/L,0.5,,P
02PY000976,6/17/2002 8:10,1,Bromide Dissolved,101535,50,UG/L,0.05,L,P
02PY000976,6/17/2002 8:10,1,Carbon Dissolved Inorganic,201144,14900,UG/L,0.5,,P
00PY006426,10/11/2000 8:30,1,Bromide Dissolved,101535,50,UG/L,0.05,L,P
00PY007038,10/30/2000 14:30,1,Iron Total,100223,364,UG/L,0.0004,,P
00PY007038,10/30/2000 14:30,1,Vanadium Total,100230,0.4,UG/L,0.0001,,P
01PY000923,2/21/2001 15:32,1,Carbon Dissolved Inorganic,201144,28100,UG/L,0.5,,P
01PY003964,6/27/2001 16:45,1,Vanadium Total,100230,1.3,UG/L,0.0001,,P
01PY004350,7/19/2001 7:50,1,Carbon Dissolved Inorganic,201144,17900,UG/L,0.5,,P
01PY008006,12/10/2001 11:30,1,Vanadium Extractable,100477,0.19,UG/L,0.01,,P
05PY000483,6/8/2005 8:15,1,Vanadium Total,97529,1.28,UG/L,0.005,,P
03PY000063,1/22/2003 15:00,1,Bromide Dissolved,101535,50,UG/L,0.05,L,P
05PY000900,8/27/2005 8:45,1,Bromide Dissolved,101535,50,UG/L,0.05,L,P
